2021/12/29 13:18:31 Auction open at: [::]:5460
2021/12/29 13:18:31 Auctioneer: Auction started at 5460. Duration will be: 100 seconds
2021/12/29 13:18:59 Send reply to 5753
2021/12/29 13:18:59 Received new leader
2021/12/29 13:19:25 Send reply to 5752
2021/12/29 13:19:25 Received new leader
2021/12/29 13:19:54 Send reply to 5751
2021/12/29 13:19:54 Received new leader
21/12/29 13:15:05 Leader election called
2021/12/29 13:15:05 This is the fucking champ
2021/12/29 13:15:05 Auction open at: [::]:5001
2021/12/29 13:15:05 Received new leader
54 STATE: 0
2021/11/30 11:34:10 Prime replica: Pulse(110)
2021/11/30 11:34:15 Prime replica: Pulse(111)
2021/11/30 11:34:20 Prime replica: Pulse(112)
2021/11/30 11:34:25 Prime replica: Pulse(113)
2021/11/30 11:34:30 Prime replica: Pulse(114)
2021/11/30 11:34:35 Prime replica: Pulse(115)
2021/11/30 11:34:40 Prime replica: Pulse(116)
2021/11/30 11:34:45 Prime replica: Pulse(117)
2021/11/30 11:34:50 Prime replica: Pulse(118)
2021/11/30 11:34:55 Prime replica: Pulse(119)
2021/11/30 11:35:00 Prime replica: Pulse(120)
2021/11/30 11:35:05 Prime replica: Pulse(121)
2021/11/30 11:35:10 Prime replica: Pulse(122)
2021/11/30 11:35:15 Prime replica: Pulse(123)
2021/11/30 11:35:20 Prime replica: Pulse(124)
2021/11/30 11:35:25 Prime replica: Pulse(125)
2021/11/30 11:35:30 Prime replica: Pulse(126)
2021/11/30 11:35:35 Prime replica: Pulse(127)
2021/11/30 11:35:40 Prime replica: Pulse(128)
2021/11/30 11:35:45 Prime replica: Pulse(129)
2021/11/30 11:35:50 Prime replica: Pulse(130)
